,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
279,GUOCO,1503,PROPERTY,PROPERTY,MAIN,0.0,0.65,0.0,0.0,0.0,455298000.0,0.5624794144753829,-0.01760817191819079,0.04248006244564449,1.1619348415882281e-12,0.07823930964473487,normal,1.1196173120996296,0.02888049174313423
280,OIB,5827,PROPERTY,PROPERTY,MAIN,0.98,0.98,0.0,0.0,124000.0,455284000.0,0.39150863274204,-0.023834549859116858,0.020871982305215166,7.193139830748399e-07,0.07856267638028118,normal,1.4842052591714183,0.07844811941700947
281,KIPREIT,5280,REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,MAIN,0.905,0.9,-0.55,-0.005,530000.0,454770000.0,0.3661840881926542,-0.024945609965191004,0.07490595407479839,1.6991183470878087e-21,0.03770259814734597,normal,0.3837532168857867,0.03084785196233586
282,MANULFE,1058,FINANCIAL SERVICES,INSURANCE,MAIN,2.13,2.1,-2.33,-0.05,3000.0,454150000.0,0.4016220321383092,-0.023975760337395183,0.037734851686264455,2.1902181379679435e-11,0.05941972277042908,normal,0.6028627148994566,0.012964651918145442
283,POS,4634,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,0.575,0.58,-0.85,-0.005,79000.0,454011000.0,1.0522353987796889,0.0008178057840608349,0.07906625829428496,1.1980944460847063e-22,0.10521279176016549,normal,1.086332525574592,-0.046400012078422925
284,TEXCHEM,8702,INDUSTRIAL PRODUCTS & SERVICES,DIVERSIFIED INDUSTRIALS,MAIN,3.55,3.6,2.86,0.1,2115000.0,451959000.0,1.3859365684335165,0.01742839119213617,0.07786860317012434,2.573436307671751e-22,0.13973191264821846,normal,2.0152493726257306,0.18825128269716718
285,SCGM,7247,INDUSTRIAL PRODUCTS & SERVICES,PACKAGING MATERIALS,MAIN,2.32,2.32,0.0,0.0,89000.0,449151000.0,0.8522981908954099,-0.0054627329851574535,0.04461799923141529,3.0862449367721525e-13,0.11554790763167516,normal,1.0768633609873537,-0.022803096890193775
286,CSCSTEL,5094,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,1.17,1.18,0.0,0.0,26000.0,448400000.0,1.3315895221863778,0.013698693522240589,0.1850090364689566,9.549164724545408e-54,0.0818817908333968,normal,1.3214769966412767,0.05681384714920146
287,BONIA,9288,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,2.2,2.21,0.91,0.02,342000.0,445474000.0,1.1895193363374237,0.008515036371332052,0.07401948092862651,2.98573594149842e-21,0.12326405508740415,normal,1.872421763312981,0.17714336136579156
288,BESHOM,7668,CONSUMER PRODUCTS & SERVICES,RETAILERS,MAIN,1.48,1.48,-0.67,-0.01,37000.0,444153000.0,0.7374073957737103,-0.010926557532841677,0.10451372868904432,8.517124063664057e-30,0.0632393389150201,normal,0.6929590401420908,-0.008300282822558014
