,STOCK SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_5Y,INTERCEPT_5Y,R-SQUARED_5Y,P-VALUE_5Y,BETA STANDARD ERROR_5Y,NORMALITY TEST_5Y,annualized_standard_deviation_of_equity_5Y,annualized_excess_return_of_equity_5Y
542,TRC,5054,CONSTRUCTION,CONSTRUCTION,MAIN,0.34,0.34,1.49,0.005,46000.0,163369000.0,2.3016518307969176,0.05263103969510026,0.36663046856139203,2.1073595977032509e-113,0.09031450526748692,normal,0.9853932135492541,0.02626252229038961
543,OPENSYS,0040,TECHNOLOGY,SOFTWARE,ACE,0.355,0.365,2.82,0.01,1376000.0,163096000.0,-0.2520915257842948,-0.04981275570390949,0.005066644742541412,0.01699696197754279,0.10546262742089607,normal,1.9893871243768715,-0.015335628392651568
544,HLT,0188,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.22,0.22,0.0,0.0,1579000.0,162019000.0,1.3565126321173646,0.01573817599350493,0.04470305051061562,7.96925867966475e-13,0.18720956290335064,normal,2.6264509727297463,-0.22459661706900036
545,CRG,03016,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,LEAP,0.2,0.2,-4.76,-0.01,95000.0,161130000.0,-0.519031829656248,-0.05864124220074547,0.006028674632334367,0.009210108211727996,0.19896357163332415,normal,3.5011077004235065,0.14145155934871845
546,LSH,03047,INDUSTRIAL PRODUCTS & SERVICES,DIVERSIFIED INDUSTRIALS,LEAP,0.0,0.45,0.0,0.0,0.0,160220000.0,0.03195347080275972,-0.03858321452953884,0.0004240722618854955,0.4903774493174583,0.04631370989218412,normal,1.3033664826224418,0.0
547,MMSV,0113,TECHNOLOGY,TECHNOLOGY EQUIPMENT,MAIN,0.715,0.775,8.39,0.06,3424000.0,160206000.0,2.0871289174036107,0.04415184529734087,0.22509613032341297,3.69296473061759e-64,0.11560929350038389,normal,1.953566660582184,0.03785626230993522
548,KPOWER,7130,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.29,0.295,1.72,0.005,17840000.0,160125000.0,0.033961819480477384,-0.037816473208959075,3.5135407263946595e-05,0.84264835644864,0.1710465800068668,normal,2.8979664313272098,-0.09773361547052328
549,SALUTE,0183,CONSUMER PRODUCTS & SERVICES,PERSONAL GOODS,MAIN,0.355,0.375,5.63,0.02,255000.0,159938000.0,5.067343961937667,0.16403244486345944,0.3587347669009522,2.2228949808940244e-110,0.20226282516528413,normal,1.663470419132435,-0.0066174379301506825
550,YBS,0025,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",ACE,0.63,0.625,-0.79,-0.005,4758000.0,157294000.0,-1.125739514040667,-0.08392588228151562,0.04243667233065287,3.0876417969336614e-12,0.15964472526212545,normal,2.979185956598809,0.19246362420890417
551,GCAP,7676,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,0.47,0.49,3.16,0.015,124000.0,157139000.0,-0.33473544069329175,-0.052891375917363134,0.006343273489543678,0.007552443483813457,0.1250739133060111,normal,2.101570625967237,-0.07939890274059946
552,HPMT,5291,INDUSTRIAL PRODUCTS & SERVICES,"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",MAIN,0.44,0.475,7.95,0.035,509000.0,156032000.0,0.48415271045507324,-0.020349604654703504,0.04700034361666937,2.0151902900958783e-13,0.06508513268685691,normal,1.5238255904650753,0.06882274296453073
553,GOB,1147,PROPERTY,PROPERTY,MAIN,0.345,0.34,-1.45,-0.005,2997000.0,154590000.0,0.12189144427523496,-0.0342740942202765,0.0005779829881911142,0.42068695128252465,0.1513190906776229,normal,3.88998476763946,0.079330566246675
