SUBSECTOR,SECTOR,BETA_5Y,INTERCEPT_5Y,annualized_return_of_equity_5Y,annualized_standard_deviation_of_equity_5Y
<<<<<<< HEAD
AGRICULTURAL PRODUCTS,CONSUMER PRODUCTS & SERVICES,0.7537292243385469,0.00032110603225694526,0.00046960927562692174,0.676607588975491
AUTO PARTS,INDUSTRIAL PRODUCTS & SERVICES,0.48755152959566733,0.0011818662593404308,0.0037687677303018296,0.9249429556531548
AUTOMOTIVE,CONSUMER PRODUCTS & SERVICES,0.6115296375543215,0.0005780141617674939,-0.0012900586107211325,0.5957455770488677
BANKING,FINANCIAL SERVICES,0.9076586954993232,0.00028426392126127586,-7.580559888404892e-05,0.24999956476506485
BOND FUND,EXCHANGE TRADED FUND-BOND,0.04324955514964179,-7.092374479772924e-05,0.006907806008826123,0.08852534257197953
BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,0.6848049518895963,0.000536958611626056,-0.005579288732163033,1.2790588455984853
CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,0.9917853243203087,0.0049095004530561055,-0.00046403598143767154,4.090685241194078
COMMODITY FUND,EXCHANGE TRADED FUND-COMMODITY,0.050736873727603174,-4.091013676235034e-05,0.003959634419361535,0.1957629482574504
CONSTRUCTION,CONSTRUCTION,0.8999582332823401,0.00030879985628762616,-0.0009717970371008398,1.5461651266236633
CONSUMER SERVICES,CONSUMER PRODUCTS & SERVICES,0.5802096074889025,0.0006283640697743449,-0.003484219634124839,0.6726877707413933
DIGITAL SERVICES,TECHNOLOGY,1.2704425054451975,0.007046752365594247,0.0008440354720902292,2.3780049089813082
DIVERSIFIED INDUSTRIALS,INDUSTRIAL PRODUCTS & SERVICES,0.8131928730863236,0.000543054268957074,-0.001240185243525106,0.5524843072267583
ELECTRICITY,UTILITIES,0.8931524558957002,0.0006683033712010717,-0.0037586942623114294,0.48098407191267883
"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",ENERGY,1.3456340546448224,0.003560663507277841,0.002616658888067322,6.72336177991556
EQUITY FUND,EXCHANGE TRADED FUND-EQUITY,0.1137980796817225,0.00047146978420319334,-0.0008808299639991363,0.5824138393166695
FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,0.6418683033006459,0.0005166535975682401,-0.0029563243536998482,1.2766199467874708
"GAS, WATER & MULTI-UTILITIES",UTILITIES,0.690234800419899,0.00021308871491070044,-0.0011744219725157157,0.4132516755293902
HEALTH CARE EQUIPMENT & SERVICES,HEALTH CARE,1.2527805113342645,0.0013100077609818647,-0.00544408487853935,0.9367744531302904
HEALTH CARE PROVIDERS,HEALTH CARE,0.38378067997308357,0.0003807498853627184,-0.001023324766018455,0.47655349437712513
HOUSEHOLD GOODS,CONSUMER PRODUCTS & SERVICES,0.5625649173501535,0.0006555797329630246,-0.0011399658982027632,1.2108087911248644
INDUSTRIAL ENGINEERING,INDUSTRIAL PRODUCTS & SERVICES,1.0723726486035365,0.0008406020592102881,-0.0015581973338359264,2.6185036376875184
"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,0.9450850127471565,0.0007723656591688924,-0.004905973079633872,1.4721974909067281
INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,0.725034836758312,0.0010146728718214832,0.0027163228506801892,1.7656435226907332
INSURANCE,FINANCIAL SERVICES,0.4940613426426056,-7.609574548764699e-07,-0.0018406887014117746,0.3948129805294707
LEVERAGED AND INVERSE FUND,ETF-LEVERAGED AND INVERSE,0.04830494003959291,0.00025757575519126923,-9.42684479680785e-05,0.4563473679429198
MEDIA,TELECOMMUNICATIONS & MEDIA,0.7262235817769798,0.00032018345910489454,-0.00032204624955765036,2.3990810323068947
METALS,INDUSTRIAL PRODUCTS & SERVICES,0.903089166866425,0.0008359966307819445,-0.0028439294576190553,0.849597911074554
OIL & GAS PRODUCERS,ENERGY,1.4349803530580982,0.0006369536689065606,0.00019934601167631572,1.2811941982721082
OTHER ENERGY RESOURCES,ENERGY,2.0889223242365222,0.0008209030489713949,2.7755575615628914e-16,2.065316838054467
OTHER FINANCIALS,FINANCIAL SERVICES,0.8218156683067284,0.0011916703519751052,-0.0018812573747349532,1.1233553445872928
PACKAGING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,0.7128042007554372,0.0006110005009455884,-0.0014500222889087104,0.6410450706105031
PERSONAL GOODS,CONSUMER PRODUCTS & SERVICES,0.8454703606365569,0.0009505101187786031,-0.004904950738575924,1.3334752158118923
PHARMACEUTICALS,HEALTH CARE,0.518573664050176,0.0006039640791323878,-0.0035746397235322724,0.4382639466470061
PLANTATION,PLANTATION,1.001232909848348,0.0023620928032685663,-0.005139716960457011,1.5237732273525881
PROPERTY,PROPERTY,0.6184613995984141,0.0007084107785170685,-0.0027465344312468673,1.6349374761978006
REAL ESTATE INVESTMENT TRUSTS,REAL ESTATE INVESTMENT TRUSTS,0.34645569545252897,-6.548675082431246e-05,-0.007361705645190925,0.28027737994849633
RETAILERS,CONSUMER PRODUCTS & SERVICES,0.6017192529542285,0.00014266881638056545,-0.003207985459348323,0.5551245162560173
SEMICONDUCTORS,TECHNOLOGY,1.1358383404893024,0.0011649751875433356,-0.0013315864172326014,0.7118516856358493
SOFTWARE,TECHNOLOGY,1.138346441979405,0.0029316516767891243,0.017291580009334825,4.286239194612316
SPECIAL PURPOSE ACQUISITION COMPANY,SPECIAL PURPOSE ACQUISITION COMPANY,0.01310367671379491,-7.189327251146978e-05,-3.3306690738754696e-16,0.06258889954828377
TECHNOLOGY EQUIPMENT,TECHNOLOGY,1.2634327241172896,0.0026611924139988484,0.00290804848016875,2.4724050644488904
TELECOMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS & MEDIA,0.8802618963255796,0.0038416976582169035,0.001367895418972087,1.7518466431468385
TELECOMMUNICATIONS SERVICE PROVIDERS,TELECOMMUNICATIONS & MEDIA,1.080830044545616,0.0006353993068775844,6.207853807063465e-05,2.5651273347820545
TRANSPORTATION & LOGISTICS SERVICES,TRANSPORTATION & LOGISTICS,0.7648660245413696,0.0005424154564741473,-0.001547817183333832,1.5386537449741615
TRANSPORTATION EQUIPMENT,TRANSPORTATION & LOGISTICS,0.7909346905079373,0.0004610271722377604,9.81350444383966e-05,1.015852600700632
"TRAVEL, LEISURE & HOSPITALITY",CONSUMER PRODUCTS & SERVICES,0.9141723870077705,0.000748910657046204,-0.0042174373930472745,0.8899845000126315
WOOD & WOOD PRODUCTS,INDUSTRIAL PRODUCTS & SERVICES,0.8172864659711969,0.0010841704884914953,0.0007975134738346046,1.06087550243698
=======
AGRICULTURAL PRODUCTS,CONSUMER PRODUCTS & SERVICES,0.780856531400295,0.0007744673432054755,-0.017049940880578977,0.673456873391034
AUTO PARTS,INDUSTRIAL PRODUCTS & SERVICES,0.4879313412100256,0.0013081041795256214,-0.004856638994420015,0.8556677247217408
AUTOMOTIVE,CONSUMER PRODUCTS & SERVICES,0.6251726889993892,0.0004389756986181478,-0.013966764362620648,0.4854068529881843
BANKING,FINANCIAL SERVICES,0.9136705101970621,0.00021816892490024393,0.0036719465186935917,0.24928673722386385
BOND FUND,EXCHANGE TRADED FUND-BOND,0.04689303356791541,-0.0001187740437884483,0.0012358846148352587,0.10103389668221542
BUILDING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,0.6865125585111123,0.0018269704537539834,0.02012946886419169,1.1750251197559534
CHEMICALS,INDUSTRIAL PRODUCTS & SERVICES,0.8602317903030328,0.00335289581725483,-0.014576568951202289,2.2101442440933052
CONSTRUCTION,CONSTRUCTION,0.9539827253363555,0.0015452754068040653,-0.05352412457623684,1.2050091624468793
CONSUMER SERVICES,CONSUMER PRODUCTS & SERVICES,0.7686515619615045,0.0009846780561931867,-0.023846267838253023,0.6714258397915889
DIGITAL SERVICES,TECHNOLOGY,1.2380572173704407,0.00223151082548849,-0.015954005571239348,0.9886909919615299
DIVERSIFIED INDUSTRIALS,INDUSTRIAL PRODUCTS & SERVICES,0.8139576801753097,0.0005041563312505749,-0.01040830317660784,0.44244337660937055
ELECTRICITY,UTILITIES,0.8908671873918039,0.0006014300021551955,-0.0027328982128642654,0.48254886569250777
"ENERGY INFRASTRUCTURE, EQUIPMENT & SERVICES",ENERGY,1.4353622821513454,0.009200965035904599,-0.09844185838370974,4.660402248406141
EQUITY FUND,EXCHANGE TRADED FUND-EQUITY,0.10400008716732807,-5.378935485427771e-05,-0.011567747592930203,0.23836256831194477
FOOD& BEVERAGES,CONSUMER PRODUCTS & SERVICES,0.6681630916834527,0.0016958529118900228,-0.02233166405905789,1.133218866518734
"GAS, WATER & MULTI-UTILITIES",UTILITIES,0.6913442438939046,0.00027733168481631104,-0.01467917579178256,0.38341882575440384
HEALTH CARE EQUIPMENT & SERVICES,HEALTH CARE,1.255699144666937,0.0012655730701162029,-0.015508870716394162,0.7345571184470473
HEALTH CARE PROVIDERS,HEALTH CARE,0.6125162175997725,0.0004001875761228947,0.008327449391476283,0.4110186927039612
HOUSEHOLD GOODS,CONSUMER PRODUCTS & SERVICES,0.5622549974126263,0.0018089945007445493,0.009195002286690587,1.1819562618359534
INDUSTRIAL ENGINEERING,INDUSTRIAL PRODUCTS & SERVICES,1.1060028194548635,0.0008348209612803763,-0.0758416767142522,0.6934361179475251
"INDUSTRIAL MATERIALS, COMPONENTS & EQUIPMENT",INDUSTRIAL PRODUCTS & SERVICES,0.9951442111203577,0.002981924099139916,0.009948977112367878,1.7438827825904897
INDUSTRIAL SERVICES,INDUSTRIAL PRODUCTS & SERVICES,0.7965762322562653,0.0014097261491098376,-0.04962741779907658,0.8603993349519251
INSURANCE,FINANCIAL SERVICES,0.5034944355600551,0.00014307277807141557,-0.007982216232199824,0.31399559719340353
MEDIA,TELECOMMUNICATIONS & MEDIA,0.740747542213768,0.0015943825650295187,-0.06252586395994987,1.2839906392912523
METALS,INDUSTRIAL PRODUCTS & SERVICES,0.9148958033243023,0.000928200075824992,-0.031120116213883813,0.7113264361525998
OIL & GAS PRODUCERS,ENERGY,1.4621766057727252,0.0007363276933077263,-0.0633997108335159,0.6687681550193978
OTHER ENERGY RESOURCES,ENERGY,2.213089796221068,0.002198506948116934,-0.07636538248561875,1.1958800931975864
OTHER FINANCIALS,FINANCIAL SERVICES,0.7631123424888602,0.001582506234877318,-0.007101006428291669,0.8949563474775147
PACKAGING MATERIALS,INDUSTRIAL PRODUCTS & SERVICES,0.7198014895407275,0.0008313371936733272,0.02243010209744409,0.5908730029629815
