,STOCK_SYMBOL,STOCK CODE,SECTOR,SUBSECTOR,MKT,OPEN,LAST,CHG%,CHG,VOL,MKT CAP,BETA_1Y,INTERCEPT_1Y,R-SQUARED_1Y,P-VALUE_1Y,BETA STANDARD ERROR_1Y,SKEWNESS_1Y,PEARSON_KURTOSIS_1Y,FISHER_KURTOSIS_1Y,NORMALITY TEST_1Y,annualized_standard_deviation_of_equity_1Y,annualized_return_of_equity_1Y
0,MAYBANK,1155,FINANCIAL SERVICES,BANKING,MAIN,8.92,8.92,0.11,0.01,2003000.0,106772520000.0,0.5431374719860995,0.0006089633635863213,0.2983883821049165,1.2951986408015876e-20,0.05320888464946165,0.07131369425150084,4.808787999306458,1.8087879993064577,not normal,1.8329618671594134,0.18889420276102142
1,PBBANK,1295,FINANCIAL SERVICES,BANKING,MAIN,4.65,4.65,-0.21,-0.01,4391000.0,90259717000.0,0.9511537180273179,0.0006638038171556613,0.5255888918127056,1.4927492454339743e-41,0.05773271790232126,0.45210377276570735,5.460317027589826,2.4603170275898263,not normal,2.418589923863829,0.18724229452358232
2,PCHEM,5183,INDUSTRIAL PRODUCTS & SERVICES,CHEMICALS,MAIN,8.76,8.76,-0.23,-0.02,1755000.0,70080000000.0,0.8920475135483822,0.0006652874836525738,0.26493135736416235,4.128239406233601e-18,0.0949297223864399,-0.6002216567622687,6.106758208646576,3.1067582086465757,not normal,3.1948900958938498,0.17911061559945285
3,IHH,5225,HEALTH CARE,HEALTH CARE PROVIDERS,MAIN,6.48,6.5,0.15,0.01,988000.0,57239283000.0,0.7840238823931596,0.0005013523157959056,0.19984949110092082,1.5428249368654476e-13,0.10022603953863345,1.6744980262632927,19.356782165999054,16.356782165999054,not normal,3.233049745904494,0.13438698240300107
4,CIMB,1023,FINANCIAL SERVICES,BANKING,MAIN,5.44,5.43,0.0,0.0,2912000.0,56875222000.0,1.1685941506791047,0.000984347370991594,0.40835290244016875,9.474798264771968e-30,0.08986575177271187,-0.7419635396756241,7.69553216512127,4.69553216512127,not normal,3.371168832296224,0.2658944426593699
5,TENAGA,5347,UTILITIES,ELECTRICITY,MAIN,8.72,8.86,1.61,0.14,1599000.0,50972266000.0,0.706242198566888,-0.0002560740635133445,0.30231041143087684,6.4765541377385494e-21,0.06854490679046744,0.681877225182977,4.772757300617853,1.7727573006178527,not normal,2.367891124081916,-0.05203961410936242
6,HLBANK,5819,FINANCIAL SERVICES,BANKING,MAIN,20.78,20.84,0.19,0.04,246000.0,45175249000.0,0.5445070560913432,0.000560037820327396,0.20188011245066093,1.1246523832208554e-13,0.06916840596804667,0.4058926581652258,5.728198239303523,2.7281982393035227,not normal,2.234042142656535,0.170543785908581
7,PMETAL,8869,INDUSTRIAL PRODUCTS & SERVICES,METALS,MAIN,4.85,4.83,0.42,0.02,947000.0,39797354000.0,1.695549799093906,0.00023422648974847168,0.28825467878621047,7.630497694212523e-20,0.1702164918085497,-0.13236122419063479,3.694553796165823,0.694553796165823,not normal,5.821796027364345,-0.010971276555729936
8,PETGAS,6033,UTILITIES,"GAS, WATER & MULTI-UTILITIES",MAIN,17.12,17.42,0.69,0.12,159000.0,34469510000.0,0.7431223367782768,0.0004768556137593873,0.2389413545272175,3.062362271434123e-16,0.08473067663947059,0.12194451854220285,5.779612522992572,2.779612522992572,not normal,2.8025235658109775,0.13408980320871278
9,MISC,3816,TRANSPORTATION & LOGISTICS,TRANSPORTATION & LOGISTICS SERVICES,MAIN,7.26,7.23,-0.28,-0.02,503000.0,32273224000.0,0.7004656984151707,0.00046814169219173247,0.16416386591541207,3.552872229325669e-11,0.10097773301443612,-0.1748511320846852,5.296658784015064,2.2966587840150643,not normal,3.18700471344087,0.12763462190075492
10,SIMEPLT,5285,PLANTATION,PLANTATION,MAIN,4.51,4.65,1.97,0.09,1087000.0,32158073000.0,1.8246932976263952,0.001459914522146145,0.24611335082348626,9.464724894557371e-17,0.20402917529991363,0.643690703424462,8.537689343297611,5.537689343297611,not normal,6.780424874445088,0.31213416468046207
11,NESTLE,4707,CONSUMER PRODUCTS & SERVICES,FOOD& BEVERAGES,MAIN,135.2,135.6,-0.07,-0.1,18000.0,31798200000.0,0.4139385524335108,-1.4523227559002054e-05,0.13746993591847514,1.8186261977853308e-09,0.06624240477565989,-0.8068129025103122,22.343275268295216,19.343275268295216,not normal,2.058100744552247,0.017606671236434
12,MAXIS,6012,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.84,3.88,1.31,0.05,632000.0,30380977000.0,1.443274602099327,-0.000223983892944187,0.3915098225117704,3.0124073477027e-28,0.11495328375715722,0.6754769117205641,6.362303329668891,3.362303329668891,not normal,4.252186029732732,-0.08467254524328682
13,DIGI,6947,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,3.69,3.81,4.38,0.16,1382000.0,29622750000.0,1.3668388336567314,-0.0003882441897348942,0.34989534296099034,1.0524175698098961e-24,0.11903010713121258,0.45266828663953695,5.89400120647513,2.8940012064751297,not normal,4.259737590468383,-0.12029557598512564
14,AXIATA,6888,TELECOMMUNICATIONS & MEDIA,TELECOMMUNICATIONS SERVICE PROVIDERS,MAIN,2.94,3.07,5.5,0.16,1447000.0,28172789000.0,1.3741664685559796,-0.0006727256476325882,0.3171002055267296,4.584983684605147e-22,0.1288357927367285,0.4997988494442753,5.426354379404637,2.4263543794046374,not normal,4.498582645728228,-0.18469206166459462
15,IOICORP,1961,PLANTATION,PLANTATION,MAIN,4.2,4.23,1.68,0.07,816000.0,26586392000.0,1.2104273191937602,0.0006273181914890554,0.24738977943238558,7.671261377898526e-17,0.13488071334026397,0.4141719607624229,6.461843288813999,3.4618432888139994,not normal,4.486239539528687,0.1363685527351095
16,RHBBANK,1066,FINANCIAL SERVICES,BANKING,MAIN,5.9,5.93,0.17,0.01,654000.0,24977618000.0,0.9138098812845147,0.0007763688389918638,0.3769621511701627,5.545277749139235e-27,0.07505526269353967,0.38579406018352247,7.695024640919778,4.695024640919778,not normal,2.74373140733258,0.21849598932661207
